LocationID,ApogeeID
768,5116,2M09184931+2148307
769,5116,2M09201002+2144421
770,2103,2M09201428+4504408
771,5116,2M09204171+2153368
772,5094,2M09210036+2726338
773,4450,2M09220753+2820107
774,4536,2M09222553-0655397
775,5094,2M09235833+2739155
776,5094,2M09241088+2631595
777,4536,2M09242547-0650183
778,4450,2M09243292+2823159
779,4536,2M09245718-0721097
780,5094,2M09250673+2646592
781,5094,2M09272491+2742337
782,5179,2M09291839+5620396
783,4223,2M09292132+3718010
784,2156,2M09300444+4948361
785,2156,2M09301294+5103102
786,5094,2M09302084+2736461
787,5094,2M09303816+2626237
788,5094,2M09304470+2808265
789,5179,2M09304744+5417137
790,5094,2M09305318+2835422
791,5179,2M09310583+5530183
792,4223,2M09315645+3714213
793,5094,2M09320785+2727380
794,5179,2M09320891+5605334
795,4211,2M09323415+5610109
796,4223,2M09324916+3612053
797,4536,2M09325236-0624540
798,4223,2M09331383+3624247
799,4223,2M09340530+3715170
800,2156,2M09350841+5013199
801,4223,2M09355228+3726198
802,2179,2M09361593+3731456
803,2156,2M09363007+5001047
804,5179,2M09373349+5534057
805,5179,2M09373589+5517114
806,2178,2M09373928+4303193
807,4223,2M09374874+3655260
808,2114,2M09405927+4615341
809,2179,2M09412383+3713321
810,4223,2M09422195+3725498
811,5126,2M09424325+3717420
812,5126,2M09425467+3852214
813,2178,2M09430433+4200227
814,2178,2M09431707+4341116
815,5126,2M09432436+3901385
816,2179,2M09432473+3713122
817,2175,2M09433219+4445224
818,5126,2M09435094+3713216
819,2114,2M09441580+4725546
820,4211,2M09445530+5526507
821,5126,2M09453165+3851300
822,2178,2M09461229+4356239
823,2178,2M09462362+4317049
824,2175,2M09473026+4435320
825,5126,2M09484895+3637052
826,5126,2M09485119+3932308
827,5126,2M09493523+3657582
828,5126,2M09495784+3708580
829,2176,2M09501533+4214122
830,2175,2M09510087+4644432
831,5126,2M09511829+3725141
832,2176,2M09513241+4220109
833,5126,2M09524216+3906199
834,2175,2M09525154+4603037
835,2175,2M09531153+4505428
836,2173,2M09535767+4521556
837,2173,2M09550790+4507443
838,2176,2M09554925+4209192
839,2176,2M09573570+4256416
840,2173,2M09575465+4551022
841,2173,2M10010184+4506185
842,2173,2M10021762+4647039
843,2170,2M10101304+4835124
844,2170,2M10101907+4602352
845,2170,2M10132098+4647259
846,2170,2M10142768+4825100
847,2170,2M10145543+4839485
848,2170,2M10161266+4705029
849,2174,2M10225087+3855304
850,2174,2M10231840+3606221
851,5119,2M10234404+1515252
852,5119,2M10250463+1435262
853,5119,2M10264845+1553445
854,4224,2M10265302+1713099
855,2113,2M10270261+4224051
856,4224,2M10270797+1555402
857,2322,2M10271955+3452273
858,2322,2M10272831+3528495
859,4224,2M10280514+1735219
860,5119,2M10283988+1600230
861,2169,2M10291410+4618558
862,2113,2M10291490+4351047
863,5119,2M10303444+1425299
864,4505,2M10303884+3426088
865,4442,2M10325973+3853468
866,4505,2M10331367+3409120
867,5123,2M10332980+2424271
868,4506,2M10334761+3018596
869,5123,2M10342576+2457586
870,4505,2M10350559+3507450
871,2113,2M10351318+4307121
